   <Script started on Sat Jul 18 21:02:40 2015
Trying 192.168.1.78...
Connected to 192.168.1.78.
Escape character is '^]'.
ý^M
..//llss^M

001	20150712_125821.pfl	000	[000 001]
002	20150712_154748.pfl	009	[002 509]
003	20150712_194236.pfl	036	[510 260]
004	20150713_185022.pfl	046	[261 663]
005	20150714_131818.pfl	046	[664 146]
root > ..//momorree  55^M

20150714_131818.pfl Flash Memory Pages  5664 : 6146
14-07-2015 13:18:18  Starting Data Acquisition Systems ...
14-07-2015 13:18:18  Probe Configuration... |70|72|76|80|84|134|137|141|145|149|198|202|206|210|214|2|
14-07-2015 13:18:18  Thermistor Controller Serial 0x97F4
14-07-2015 13:18:18  Temperature Control Active 1 ...
14-07-2015 13:18:18  Heater Intervals ON 5  OFF 0 
14-07-2015 13:18:18  Sensor Temperature 23.8 C
14-07-2015 13:18:18  Battery Voltage 12.2V
<|14-07-2015|13:19:14|97F4|00017|22.8| 4.21| 2.95| 2.55| 2.14| 1.82| 6.00| 5.78| 5.12| 4.60| 3.88| 8.80| 8.16| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|00|01|12.2|0|-1.0|>
<|14-07-2015|13:19:17|97F4|00018|22.8| 4.21| 2.95| 2.55| 2.15| 1.82| 6.00| 5.77| 5.10| 4.59| 3.87| 8.79| 8.15| 6.01| 0.00|-0.87| 0.00| 2.37| 4.83| 2.46|04|01|12.1|0|-1.0|>
<|14-07-2015|13:19:20|97F4|00019|22.8| 4.21| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.78| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|1|-1.0|>
<|14-07-2015|13:19:23|97F4|00020|22.8| 4.21| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.78| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|2|-1.0|>
<|14-07-2015|13:19:26|97F4|00021|22.8| 4.21| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.78| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|3|-1.0|>
<|14-07-2015|13:19:29|97F4|00022|22.8| 4.21| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.78| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|4|-1.0|>
<|14-07-2015|13:19:32|97F4|00023|22.8| 4.21| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.78| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|00|01|12.2|0|-1.0|>
<|14-07-2015|13:19:35|97F4|00024|22.8| 4.21| 2.95| 2.52| 2.16| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.78| 8.15| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|0|-1.0|>
<|14-07-2015|13:19:39|97F4|00025|22.8| 4.21| 2.95| 2.55| 2.14| 1.82| 6.00| 5.78| 5.11| 4.60| 3.88| 8.79| 8.16| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|1|-1.0|>
<|14-07-2015|13:19:42|97F4|00026|22.8| 4.21| 2.95| 2.55| 2.15| 1.82| 6.00| 5.78| 5.11| 4.60| 3.88| 8.79| 8.16| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|2|-1.0|>
<|14-07-2015|13:19:45|97F4|00027|22.8| 4.21| 2.95| 2.55| 2.15| 1.82| 6.00| 5.77| 5.10| 4.59| 3.87| 8.78| 8.14| 6.01| 0.00|-0.87| 0.00| 2.37| 4.83| 2.46|04|01|12.1|3|-1.0|>
<|14-07-2015|13:19:48|97F4|00028|22.8| 4.21| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.77| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|4|-1.0|>
<|14-07-2015|13:19:51|97F4|00029|22.8| 4.21| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.77| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|00|01|12.2|0|-1.0|>
<|14-07-2015|13:19:54|97F4|00030|22.8| 4.21| 2.95| 2.52| 2.16| 1.83| 6.01| 5.78| 5.12| 4.60| 3.88| 8.77| 8.15| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|0|-1.0|>
<|14-07-2015|13:19:57|97F4|00031|22.9| 4.21| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.77| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|1|-1.0|>
<|14-07-2015|13:20:00|97F4|00032|22.9| 4.20| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.12| 4.60| 3.87| 8.77| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|2|-1.0|>
<|14-07-2015|13:20:03|97F4|00033|22.9| 4.20| 2.95| 2.52| 2.15| 1.83| 6.00| 5.78| 5.12| 4.60| 3.87| 8.72| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|3|-1.0|>
<|14-07-2015|13:20:07|97F4|00034|22.9| 4.20| 2.95| 2.52| 2.15| 1.82| 5.99| 5.78| 5.11| 4.60| 3.88| 8.78| 8.15| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.48|04|01|12.1|4|-1.0|>
<|14-07-2015|13:20:10|97F4|00035|22.9| 4.20| 2.95| 2.52| 2.15| 1.82| 5.99| 5.78| 5.11| 4.60| 3.88| 8.77| 8.15| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.48|00|01|12.2|0|-1.0|>
<|14-07-2015|13:20:13|97F4|00036|23.0| 4.20| 2.95| 2.52| 2.15| 1.82| 5.99| 5.77| 5.10| 4.59| 3.87| 8.76| 8.15| 6.01| 0.00|-0.87| 0.00| 2.36| 4.83| 2.47|04|01|12.1|0|-1.0|>
<|14-07-2015|13:20:16|97F4|00037|22.9| 4.20| 2.95| 2.52| 2.15| 1.83| 6.00| 5.78| 5.12| 4.60| 3.88| 8.72| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|1|-1.0|>
<|14-07-2015|13:20:19|97F4|00038|23.0| 4.20| 2.95| 2.52| 2.15| 1.83| 6.00| 5.78| 5.12| 4.60| 3.87| 8.76| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|2|-1.0|>
<|14-07-2015|13:20:22|97F4|00039|23.0| 4.20| 2.95| 2.52| 2.15| 1.83| 6.00| 5.78| 5.12| 4.60| 3.87| 8.76| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|3|-1.0|>
<|14-07-2015|13:20:25|97F4|00040|23.0| 4.20| 2.95| 2.52| 2.15| 1.83| 6.00| 5.78| 5.12| 4.60| 3.87| 8.76| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|4|-1.0|>
<|14-07-2015|13:20:28|97F4|00041|23.0| 4.20| 2.95| 2.52| 2.15| 1.83| 6.00| 5.78| 5.12| 4.60| 3.87| 8.76| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|00|01|12.2|0|-1.0|>
<|14-07-2015|13:20:32|97F4|00042|23.1| 4.20| 2.95| 2.56| 2.15| 1.82| 5.99| 5.78| 5.12| 4.60| 3.88| 8.78| 8.15| 6.01| 0.00|-0.87| 0.00| 2.37| 4.85| 2.47|04|01|12.1|0|-1.0|>
<|14-07-2015|13:20:35|97F4|00043|23.1| 4.20| 2.95| 2.55| 2.15| 1.82| 5.97| 5.78| 5.11| 4.60| 3.88| 8.78| 8.15| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|1|-1.0|>
<|14-07-2015|13:20:38|97F4|00044|23.1| 4.20| 2.95| 2.55| 2.15| 1.82| 5.98| 5.76| 5.10| 4.59| 3.87| 8.76| 8.14| 6.01| 0.00|-0.87| 0.00| 2.37| 4.83| 2.46|04|01|12.1|2|-1.0|>
<|14-07-2015|13:20:41|97F4|00045|23.1| 4.20| 2.95| 2.52| 2.15| 1.83| 5.98| 5.78| 5.12| 4.60| 3.87| 8.75| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|3|-1.0|>
<|14-07-2015|13:20:44|97F4|00046|23.2| 4.20| 2.95| 2.52| 2.15| 1.83| 5.99| 5.78| 5.12| 4.60| 3.87| 8.75| 8.13| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|4|-1.0|>
<|14-07-2015|13:20:47|97F4|00047|23.2| 4.21| 2.95| 2.52| 2.15| 1.83| 5.98| 5.78| 5.12| 4.60| 3.87| 8.74| 8.13| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|00|01|12.2|0|-1.0|>
<|14-07-2015|13:20:50|97F4|00048|23.2| 4.21| 2.95| 2.52| 2.16| 1.83| 5.99| 5.78| 5.12| 4.60| 3.88| 8.73| 8.14| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|0|-1.0|>
<|14-07-2015|13:20:53|97F4|00049|23.2| 4.20| 2.95| 2.52| 2.15| 1.83| 5.98| 5.78| 5.12| 4.60| 3.87| 8.73| 8.13| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|1|-1.0|>
<|14-07-2015|13:20:56|97F4|00050|23.3| 4.20| 2.95| 2.52| 2.15| 1.83| 5.98| 5.78| 5.11| 4.60| 3.87| 8.72| 8.13| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|2|-1.0|>
<|14-07-2015|13:21:00|97F4|00051|23.3| 4.20| 2.95| 2.55| 2.15| 1.82| 5.96| 5.78| 5.11| 4.60| 3.88| 8.73| 8.14| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|3|-1.0|>
<|14-07-2015|13:21:03|97F4|00052|23.3| 4.20| 2.95| 2.55| 2.15| 1.82| 5.96| 5.78| 5.11| 4.60| 3.88| 8.73| 8.15| 6.00| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|4|-1.0|>
<|14-07-2015|13:21:06|97F4|00053|23.3| 4.20| 2.95| 2.52| 2.15| 1.82| 5.96| 5.76| 5.10| 4.59| 3.87| 8.72| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.83| 2.47|00|01|12.2|0|-1.0|>
<|14-07-2015|13:21:09|97F4|00054|23.4| 4.20| 2.95| 2.52| 2.16| 1.83| 5.97| 5.78| 5.12| 4.60| 3.88| 8.72| 8.14| 6.00| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|0|-1.0|>
